id	text	source	keyword_cat	ws_label	gpt_label	llama_label	tier	final_label	method	human_verified
56	كلامك صاح الفلول من 56 بعملو فتن وحروب لكن خلاص مع الاشاوس ديل والامير ود حمدان تاني الفلول يشموها قدحه	war_corpus	hate_political	HATE	HATE	OFFENSIVE	2	HATE	majority_vote	
60	باتاريخ اليوم حطاب السد الباب متك واستلام بالقرب من الجيلي انتهت الاقامه ياجنجويد	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
62	شرفاء السودان اصدحوا بالاصوات التي تدين الامارات الان انت تقود معركة بي صوتك اقوي من الرصاص ضد مرتزقة الامارات	war_corpus	hate_political	OFFENSIVE	HATE	HATE	2	HATE	majority_vote	
75	بحري لمتابعة التغطية الخاصة للمعارك اول باول تابع صفحة الخرطوم مقبرة الجنجويد على الفيسبوك من خلال الرابط الخرطوم_مقبرة_الجنجويد معركة_الكرامة تحرير_الجزيرة الجزيرة مدني_لازم_ترجع	war_corpus	neutral_news	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
77	فلنقات المسيرية الشغالين عبيد يحاربو بالانابة عن الشماليين عبيد الاستعمار	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
87	مستني زول من قبيييل يعلق	old_twitter	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	HATE	gpt_tiebreaker	
89	سارع كل العرب والمسلمين وهيئة علماء السلطان الكيزانية لادانة حادثة نيوزلاند ولكن سفاح نيوزلاند افضل من الكيزان لانه تخير من يقتل فقتل من يختلف معه في الهوية والدين اما الكيزان فيقتلون ابناء جلدتهم ولا اعتقد انهم علي دين الاسلام #اعتصام_القيادة_العامة #مدن_السودان_تنتفض	old_twitter	hate_political	NEUTRAL	HATE	HATE	2	HATE	majority_vote	
96	انا ما مزعلني الا ناس شندي المرقو موكب امبارح وين كنتو وقت الناس بتموت وبقتلوهم الكيزان الطالعين عشانهم اسي ديل يا بطاله؟؟ شندي العار	old_twitter	hate_political	OFFENSIVE	HATE	HATE	2	HATE	majority_vote	
97	هههههه الكلب قال نتعرض لي تطهير و ابادة عرقية في الخرطوم و الجزيرة و كل مكان خت السلاح و استسلم كلامنا وااااحد	war_corpus	dehumanizing	HATE	HATE	HATE	1	HATE	full_agreement	
109	ان يسموك كافر وانت تبحث عن الحقيقة، خير لك من ان يسموك مؤمن و انت تقلد جهلهم صوت_الجمهورية	war_corpus	religious_sectarian	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
130	الفرقة السادسة مشاة بالفاشر قواتنا استطاعت تدمير منصة تحتوي على مدفعين نوع 120 ومدفعين نوع 82 بمحور الفاشر الخرطوم_مقبرة_الجنجويد	war_corpus	violence_reporting	HATE	HATE	HATE	1	HATE	full_agreement	
135	شباب مدني بكرة محاكمه ثوار المليونية ما بتتوصو...ابقو كتااار محكمة الجنايات الساعة صباحاً #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	HATE	gpt_tiebreaker	
150	كيف سهرة امس ي جنجويد ؟ لاول مرة رينبو من الطراز الحديثCH 5 الكلالكة تؤمن المدرعات والجبل والمهندسين والسلاح الطبي بقدرة 16قنبلة ذكية موجه تقف لمدة تلاتة ايام متواصلة 60ساعة ومساحة التغطية عشرة الف كيلو للتجسس والتصوير تشمل كل جنوب الخرطوم حتى الباقير والقيادة سلسلة MQ 9	war_corpus	hate_tribal	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
152	عضو مجلس السيادة مساعد القائد العام للقوات المسلحة وقائد القيادة الجوالة الفريق اول ركن ياسر العطا مخاطبا قوات سلاح المدرعات ومتحركات العمليات اللاحقة هناك تامر قوى اقليمية ودولية يهدف لنهب موارد افريقيا وتقاسم النفوذ، وقد شمل ذلك حشد اموال، سلاح، ومرتزقة فيديو منصتنا علي فيسبوك	war_corpus	hate_political	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
155	بكرة نسمع زايلي كتير ونشرب شاي بي لحم جنجويد	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
163	اللهم سدد الرمي لمتابعة التغطية الخاصة للمعارك اول باول تابع صفحة الخرطوم مقبرة الجنجويد على الفيسبوك من خلال الرابط الخرطوم_مقبرة_الجنجويد معركة_الكرامة تحرير_الجزيرة الجزيرة مدني_لازم_ترجع	war_corpus	hate_tribal	HATE	NEUTRAL	HATE	2	HATE	majority_vote	
177	ابطال الفرقه الرابعه مشاه شغالين فتك ومتك في المليشيا في منطقة جنوب النيل الازرق وغنائم كمية تابع قناة السودان علي الواتساب whatsapp com channel 0029VbAeJWtElagyZ8UbnC0E تابع قناة السودان علي تلغرام	war_corpus	violence_incitement	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
182	فليعم الجبناء انا غدا آتون.. سندق معاقلهم ، ونبيد جحافلهم والويل للكيزان ، الويل للكيزان الذكري الأولي لثورة ديسمبر المجيدة "اول هاشتاق يعبر عن الثورة" #مدن_السودان_تنتفض	old_twitter	hate_political	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
187	اهبل مخرف جاهل احمق كذاب ضال مضل على منبر رسول الله وبعد مليون شهيد سني يقول كلنا اخوة؛ العلوي والسني والمسيحي والدرزي والشيعي والاسماعيلي ونسي ان يقول واليهودي والبهائي والايزيدي عفا الله عما سلف اذهبوا فانتم الطلقاء اعزة على المؤمنين اذلة على الكافرين يقتلون اهل الاسلام ويدعون اهل الاوثان	war_corpus	humanitarian	OFFENSIVE	HATE	HATE	2	HATE	majority_vote	
194	_ غرفة طوارئ جنوب الحزام كوادر مستشفى بشائر اعلنوا الاضراب عن الخدمة بسبب اطلاق فرد يتبع لقوات الدعم السريع النار على المدير الطبي للمستشفى وعضو بالغرفة، بالاضافة لتهديده للطاقم الطبي المرابط في المستشفى جنجويد_رباطة شارك قناة انصار القوات المسلحة السودانية علي التلغرام	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
196	الباشا طبيق انسلخت من عضوية المؤتمر الوطني والحركة الاسلامية وانضميت للجنجويد لانني اصبحت من صناع القرار ولست مجرد تابع في الحركة الاسلامية السودان	war_corpus	hate_tribal	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
199	حققت شنو لي نفسي الامه دي كلها التحرق	war_corpus	violence_reporting	NEUTRAL	HATE	OFFENSIVE	3	HATE	gpt_tiebreaker	
205	اي جنجويدي مسوي نفسو راجل للمواطنين يجيني خاص	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
224	#زلزال_الكنداكة الاثنين و الاربعاء من كل اسبوع برعاية لجان مقاومة ود نوباوي #تسقط_بس	old_twitter	hate_tribal	NEUTRAL	HATE	OFFENSIVE	3	HATE	gpt_tiebreaker	
231	تم جغم عدد اتنين قائد من مليشيات الجنجويد و تسليمهم تذكرة ذهاب بلا عودة الى السماء ذات البروج العميد خلا شنبور عدلان اللواء خلا حمدان جعيبو الحلو استغفر الله اسامي تقولها و انت متوضي الا تعيد وضوك ولو صايم عليك قضاء و كفارة	war_corpus	gender_hate	HATE	HATE	HATE	1	HATE	full_agreement	
235	#مليونية6ابريل ساقطين يا تجار الدين بإذن الله العظيم #تسقط_بس #مدن_السودان_تنتفض	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	HATE	gpt_tiebreaker	
243	بشريات صباح الخير ، الجيش يستلم التكينة التابعة لمدينة الدندر ويتقدم على منطقة حيويوا ، الله اكبر ناصر مختار الخرطوم_مقبرة_الجنجويد	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
245	لندن الان سفارة دويلة الشر تظاهرات_الغضب_من_اجل_الفاشر UAEFundsRSF UAEkillsSudanese	war_corpus	threats	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
254	اما قطر كونها في صف ايران ده براهو يكفي لسقوطها لأنو الاخوان والشيعة اصحاب وحلفاء ، والشيعة كفار رسمي معروفين يطعنوا في عائشة والصحابة ، تقول لي حق وليها حق وبتاع	old_telegram	dehumanizing	HATE	HATE	HATE	1	HATE	full_agreement	
256	اعتقال اعداد من الخونة والعملاء المناصرين لمليشيا الجنجويد فى العيلفون شرق النيل بواسطة الاستخبارات والامن	war_corpus	hate_tribal	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
257	ظهور كيكل في هذا التوقيت دا دليل علي هزيمة مليشيا الجنجويد وفقدانة للقادة المؤثرين ف كيكل الجبان يقاتل معاهم من بداية الحرب من وراء ستار ومعه حفنة قليلة من المنتفعين والعملاء وهذا هو سبب تواجد مليشيا الجنجويد بكثرة في شرق النيل؟ جيش_واحد_شعب_واحد دحر_المليشيا معركة_الكرامة	war_corpus	violence_reporting	OFFENSIVE	HATE	HATE	2	HATE	majority_vote	
263	ابشركم الجيش يحسم معركة جبل اولياء وشرقها ويستلم عدد عربات وكمية من الهالكين فك_اللجام معركة_الكرامة الخرطوم_مقبرة_الجنجويد	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
264	يجب ان ننشر الانتهاكات ونذكر ان حربنا مع مرتزقة يحملون حقد ضد المواطن	war_corpus	hate_political	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
268	شجب محامو الطوارئ في بيان ، اغتصاب عدد من افراد مليشيا الدعم السريع لفتاة بجزيرة توتي بالخرطوم بنحو وحشي تحت تهديد السلاح، وقالوا ان قوة من المليشيا اعتدت على المدنيين الذين اعترضوا على هذا الفعل الشنيع ما ادى لمقتل شخص واصابة ستة اخرين	war_corpus	neutral_news	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
274	و الله يا اواب زي بس انتو بتحبو الكفار	old_twitter	religious_sectarian	HATE	HATE	OFFENSIVE	2	HATE	majority_vote	
275	هم شعروا بقرب سقوطهم لذلك افتعلوا الحريق ليخفوا به بلاويهم #تسقط_بس	old_twitter	violence_reporting	NEUTRAL	HATE	OFFENSIVE	3	HATE	gpt_tiebreaker	
279	خارج السور لا تعترضوا سبيل موكبهم ، فقط على الثوار ان يقوموا بنشر صور الذين سيشاركون في موكب الكيزان يوم ١٤ ، وتحويلها للكنداكات في قروب منبرشات زمن الدسدسة والغتغيت انتهى	war_corpus	threats	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
282	أعدّوا لهؤلاء الذين كفروا بربهم الذين بينكم وبينهم عهد إذا خفتم خيانتهم وغدرهم، ما أطقتم أن تعدّوه لهم من الآلات التي تكون قوة لكم عليهم من السلاح والخيل، تخيفون بإعدادكم ذلك عدو الله وعدوكم من المشركين.— تفسير القرآن لـ الطبري	old_telegram	religious_sectarian	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
283	الجيش يكبد الميليشيا خسائر كبيرة في الارواح والعتاد بمنطقة جبل موية غرب سنار معركة_الكرامة دك_حواضن_الجنجويد الخرطوم_مقبرة_الجنجويد تابع قناة الخرطوم_مقبرة_الجنجويد على واتساب	war_corpus	hate_tribal	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
289	هلاك المرتزق ملاح احمد، احد قادة الهجوم الاخير المؤثرين على مدينة بابنوسة بولاية غرب كردفان مع ابن اخيه صالح احمد، وذلك خلال المواجهات التي دارت مع الفرقة ٢٢ مشاة دنيا زايلي، ونعيمكي زايل	war_corpus	violence_reporting	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
295	أمسيات #اعتصام_القياده_العامه عيادات متنقلة صيدليات خدمات الشاي والقهوة غناء وشعر في حب #السودان قرآن وترانيم ودعوات اللهم سودان بلا كيزان #تسقط_بس #مدن_السودان_تنتفض	old_twitter	hate_political	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
298	في تخوم كادقلي جنوب ولاية كردفان انهى الجيش اي وجود لمتمردي حركة عبد العزيز الجبانة وكذلك للميليشيا الدموية اجتمع الاعداء لكسر جيشنا الابي فاذاقهم الويل بصموده وتضحياته	war_corpus	hate_political	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
308	الا نجيبهم في المقابر ديل	old_twitter	random_no_keyword	NEUTRAL	HATE	HATE	2	HATE	majority_vote	
311	لا سلم الله الامارات لا سلم الله محمد حمدان دقلوا لا سلم الله حمدوك لا سلم الله القحاتة لا سلم الله ال جنيد عن كل بكرة ابيهم الامارات_تقتل_السودانيين الفاشر_تستباح انقذوا_اهل_الفاشر الجنجويد_ينفذون_مجازر_بالفاشر	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
312	مش لو بليتوا جهاز الامن لو حررتوا فلسطين برضو جنجويد رباطة و #شكرا_حمدوك	old_twitter	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
327	محور سنار نار وشرار الله اكبر بفضل الله اولا ثم قواتنا المسلحه الباسلة،، تم التامين حتى المنطقه B وتدمير ٦ كروزرات للعدو وعدد ٥ دوشكا وجغم اكثر من 31 فطيس ولسه البل مستمر باذن الواحد الاحد حتتحرر قريبا دعواتكم نصر من الله وفتح قريب امن_يا_جن	war_corpus	profanity	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
332	الامارات تعزز ميليشيات الجنجويد بالاسلحة الفتاكة لخنق الفاشر ، ما يجري ليس حربا اهلية بل حرب مرتزقة بتمويل خارجي ، الحقيقة التي يجب ان يعرفها الجميع ان الدم في دارفور يسفك باموال ابوظبي و من يمول القتلة شريك في الجريمة ومن يصمت متواطئ الصحفي انيس منصور السودان نبا_السودان	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
338	ليسال الصادقين عن صدقهم واعد للكافرين عذابا اليما	war_corpus	religious_sectarian	OFFENSIVE	HATE	HATE	2	HATE	majority_vote	
343	قيادة القوات المسلحة السودانية رفعت التمام من قلب المقدمة لتحرير كردفان القائد عبدالله جنا و القائد ابوعاقلة كيكل واعلان الزحف وبدا تطهيرها	war_corpus	hate_tribal	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
347	البارحة وانا اقوم بما احتفظ به على جوالي فوجدت اني محتفظ بهذا المنشور فقلت أن الخير في هذا الشعب إلى يوم القيامة وليت كاتب المنشور يكون قد وجد إجابة سؤالة فالانقاذ عذبت الشعب ومن عذابها صنعت أسودا دون أن تدري مساكين الكيزان جهلوا هذا الشعب	old_twitter	hate_political	OFFENSIVE	HATE	HATE	2	HATE	majority_vote	
351	المسيره المتفجره ضربت عربات لاجنجويد علي الظلط المؤدي علي كبري المنشيه	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
353	انا مسكين ساي ولكنهم يحبون الكفار	old_twitter	religious_sectarian	HATE	HATE	HATE	1	HATE	full_agreement	
359	كمين المشتركة للجنجويدي المرتزق علي يعقوب	war_corpus	hate_tribal	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
365	لن تقوم لهم قائمة بعد اليوم ولن نسمح لاي تجمع لهم، سندكهم ونقصفهم حتى يصابوا بديسك الرقبة لكثرة نظرهم الى السماء، حيث الميج والسوخوي والوحش بيرقدار TB 2 سننهي اسطورة ال دقلو ونغلق هذه الصفحة الى الابد العطا_لمن_عصا	war_corpus	violence_reporting	HATE	HATE	HATE	1	HATE	full_agreement	
368	انباء عن هلاك القيادي بمليشيات الدعم السريع النزير بخيت عبدالرحمن ابيرص دنيا زايلي ونعيمكي زايل	war_corpus	hate_tribal	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
383	بتعرفو الله انتو يا منافقين يا كلاب نسيتو شيخكم الزنى في نهار رمضان ولا الشهيد احمد الخير الاغتصبتو في المعتقل يا انجاس	war_corpus	dehumanizing	HATE	HATE	OFFENSIVE	2	HATE	majority_vote	
385	اهون لجمل ان يلج من ثقب ابرة من ان يدخل جنجويد ملكوت الله ان الجنجويد ليسو قبيلة وليس عنصرا بعينه فيولد الشخص خيرا ثم بعد ذلك له الخيار اما ان يصبح انسانا او جنجويدا مسيح دارفور عبد العزيز بركة ساكن	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
393	انسحاب المرتزقه من خمسة قرى بالجزيرة والجيش يسيطر عليها بالكامل والان الجيش شغال دعواتكم ليهم بالنصر والثبات لاسباب م بفصح باسماء القرى لكن ممكن الناس المعاهم دعامة تتصلو تتاكدو من اهلكم، ونصر من الله وفتح قريب الشكري	war_corpus	hate_political	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
397	المصبية ليست في ظلم الأشرار بل في صمت الأخيار ناس بري والكلاكلة والعباسية طلعوا وتحدوا ولكن مازلنا نعاني مرارة خروج كل الشعب لاستئصال الورم السرطاني الكيزاني.. لك التحية وكل الحب #تسقط_بس	old_twitter	hate_political	HATE	HATE	OFFENSIVE	2	HATE	majority_vote	
401	متحرك درب النضال يكمل استعداداته لدك معاقل مليشيا البرهان ومرتزقة الحركات ببورتسودان The Darb al Nida al Division completes its preparations to dismantle the strongholds of SAF and the mercenary movements in Port Sudan معركة_الديمقراطية حراس_الثورة_المجيدة	war_corpus	violence_reporting	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
404	الله اكبر استلام حي المشتركة سم الجنجويد بل_بس	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
405	عبر المسيرات تم استهداف تجمعات للمليشيات في امبدات قبل قليل وتم تدمير ارتكازين وهلاك العشرات من المليشيا ،القوات تتقدم بفضل الله وقوتة ننتصر	war_corpus	violence_reporting	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
408	وبين المجلس العسكري الانقلابي وارزقيته الخائضين في دماء الشهداء التي تنادي للقصاص من قتلتهم السارقين لموارد البلاد والخادمين لاجندة المحاور الاقليمية والدولية المعادية لتطلعات شعبنا مليونية25نوفمبر لاتفاوض_لاشراكة_لاشرعية	war_corpus	violence_reporting	NEUTRAL	HATE	HATE	2	HATE	majority_vote	
415	القوقو عينك فوقو تركب فوقو ڪاڪي_اخصر جيش_واحد_شعب_واحد الجيش_صاحي معرڪة_الڪرامة انهاء_التمرد الخرطوم_مقبرة_الجنجويد	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
427	في عمليات نوعية عبر العمل الخاص والمسيرات في محاور الخرطوم بحري ، تم القضاء على 11 من مرتزقة المليشيا، بما في ذلك قائدهم، داخل منزل في كافوري كما تم تصفية تجمع كبير من الجنجويد بالقرب من مسجد النور في نفس المنطقة	war_corpus	hate_tribal	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
441	عاجل الحسكة مصادر ميدانية مقتل جندي من القوات الامريكية في الاشتباكات في محيط سجن الصناعة بالحسكة فطس خنزير صليبي و لله الحمد	war_corpus	religious_sectarian	NEUTRAL	HATE	HATE	2	HATE	majority_vote	
449	اللهم انا نبرا اليك ما يحدث في بلاد الحرمين هذا منكرا لا يرضينا قال رسول الله ﷺ قال بدا الاسلام غريبا، وسيعود غريبا ، فطوبى للغرباء لا تقوم الساعة حتى تلحق قبائل من امتي بالمشركين، وحتى تعبد قبائل من امتي الاوثان	war_corpus	religious_sectarian	OFFENSIVE	HATE	HATE	2	HATE	majority_vote	
464	القراي اكفر من كفار قريش زاتو تبا له ساير الدهر	old_telegram	religious_sectarian	HATE	HATE	HATE	1	HATE	full_agreement	
466	فستق عبيد-سميحة خريس زرائب العبيد-نجوي بن شتوان كتيبة سوداء- محمد المنسي قنديل اليهودي الحالي-علي المقري	old_twitter	hate_tribal	OFFENSIVE	HATE	HATE	2	HATE	majority_vote	
468	تقوم القوات المسلحة الان بتنظيف المناطق حول حنتوب من بقايا المرتزقة الفارين والنهابين شن الطيران الحربي ضربات مفاجئة ومدمرة بنيالا ليلة امس على اوكار المليشيا بحي الجمهورية والجير وقيادة الفرقة 16 وكبدتهم خسائر كبيرة ، وكذلك ضربة قوية لمتحرك في حمرة الشيخ اليوم الاثنين 18 12 2023	war_corpus	hate_political	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
471	باكوبي قائد عصابات النقرز في امدرمان الثورة هرب مع المساجين الهربوا وانضم للجنجويد ومعاه مجموعات عصابات امدرمان بحمدالله تم جغمه صباح اليوم في بحري وداعا باكوبي كنت بني ادم وسىخ	war_corpus	hate_tribal	HATE	HATE	OFFENSIVE	2	HATE	majority_vote	
474	السودان يتهم كينيا بدعم الدعم السريع خرق للسيادة وتهديد لوحدة الدول الافريقية تابعنا علي تلغرام	war_corpus	threats	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
475	رموز النظام خارج السجون،الاموال لم يتم حصرها والولايات مازالت تحت حكم الكيزان،السفارات بالخارج يتحكم بها جهاز الامن. الوقت ليس للتنافس الحزبى ولا للانتصارات الزائفة.	old_twitter	hate_political	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
485	الجنجويد هم اس المشڪلة واي حل يضمن وجودهم سياسيا او عسڪريا او حتى اقتصاديا فهو تاجيل للحرب وليس حلا	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
488	نيالا النسر يضرب مرة اخرى الخرطوم_مقبرة_الجنجويد	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
489	عاوز تشارك معانا ماف ليك امشي للكفار	old_twitter	religious_sectarian	HATE	HATE	HATE	1	HATE	full_agreement	
497	احد المجرمين الدعامة الذين صوروا مشهد تصفية الاسرى ويظهر بزي الدعم السريع لقد قتلوا اسرى من الجيش	war_corpus	hate_political	NEUTRAL	HATE	OFFENSIVE	3	HATE	gpt_tiebreaker	
506	الكيزان في بيوت المواطنين الكيزان في المرافق الخدمية افيقوا ايها الناس ولا تدمروا وطنكم	war_corpus	violence_incitement	OFFENSIVE	HATE	HATE	2	HATE	majority_vote	
507	حرق بس ما دايرين عربات زاتو لمتابعة كافة اخبار السودان والتغطيات اولا باول من مصادر موثوقة وبتحديثات فورية تابع قناة الاخبار على الواتساب من الرابط الخرطوم_نيوز الخرطوم_مقبرة_الجنجويد السودان	war_corpus	hate_tribal	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
518	العساكر كسرناهم يوم يونيو رغم قطعة الانترنت ورغم إرهاب الجنجويد ورغم أحلام الخونة في قحت. مرقنا في كل شارع في البلد حرفيا وأرغمناهم يرجعوا للتفاوض ورجلهم فوق رقبتهم. ونتيجة التفاوض ما قدر تضحياتنا ولا قدر أحلامنا، لكنها تظل خطوة أقرب نحوها. والعساكر والخونة أبعد	old_twitter	humanitarian	HATE	HATE	HATE	1	HATE	full_agreement	
533	اشاوس الدعم السريع يخوضون معارك حاسمة ويحررون عدد من المناطق بالفاشر من مليشيا البرهان ومرتزقة الحركات The RSF engages in decisive battles and liberates several areas in El Fasher from the SAF militia and allied mercenary movements معركة_الديمقراطية حراس_الثورة_المجيدة	war_corpus	hate_political	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
534	من داخل سوق سنجه في الاصل الجنجويد حراميه مرتزقه حق الحرام ما بفيدك	war_corpus	hate_political	HATE	HATE	HATE	1	HATE	full_agreement	
536	زايلي ونعيمكي زايل شالت المرتزقه اولاد الكلب	war_corpus	dehumanizing	HATE	HATE	HATE	1	HATE	full_agreement	
542	وسط روح معنوية عالية ابطال القوات المسلحة في امبدة يتقدمون على جميع محاور القتال الخرطوم_مقبرة_الجنجويد معركة_الكرامة جيش_واحد_شعب_واحد شارك رابط قناة الخرطوم مقبرة الجنجويد على التلغرام	war_corpus	hate_tribal	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
548	الجيش عمل مفاجاه للجنجويد بالكدرو ونزل ليهم الفدائيين المظلين	war_corpus	hate_tribal	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
555	فيديو توضيحي يوضح اثار رائش طيران الفلول الذي تسبب في وفاة شهيد القضية البطل اللواء عبدالرحمن البيشي من جوة بيت البكاء	war_corpus	violence_reporting	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
558	صباح محمد الحسن المجلس الانقلابي تاخر الحوار تسبب في تراجع الوضع الامني والاقتصادي ماتضحكوا الناس دي بتتكلم جد تعليقنا المرة الفاتت قال الموكون المدني هو السبب في التراجع الامني و اللقتصادي هم ممنوعين من الصرف ولا شنو	war_corpus	gender_hate	NEUTRAL	HATE	OFFENSIVE	3	HATE	gpt_tiebreaker	
559	حنصوم رمضان من غير كيزان. #مدن_السودان_تنتفض #اعتصام_القيادة_العامة #السودان_الاضراب_العام	old_twitter	hate_political	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
