priority	id	text	source	keyword_cat	ws_label	gpt_label	llama_label	tier	majority_label	human_label
62	8812	ممكن تثق في مصاص دماء لكن م تثق في مصري	old_twitter	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
63	8828	بالتوفيق أستاذ خالد و حكومة الغفلة #تسقط_بس #مدن_السودان_تنتفض #موكب6ابريل	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
64	9041	فكم قد رأينا ظالماً متمرداً يرى النجم تيهاً تحت ظل ركابه فعما قليل وهو في غفلاته أناخت صروف الحادثات ببابه فأصبح لا مال له ولا جاه يرتجى ولا حسنات تلتقي في كتابه وجوزي بالأمر الذي كان فاعلاً وصب عليه الله سوط عذابه #تسقط_بس #حملة_الدعاء_على_العدو	old_twitter	hate_political	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
65	9216	انا والله ما برتاح الا جقق النظام ديل يتفجخو و يتفضحو قدامي و لو تطلب الامر فجخ السيد الوالد بما انو خدم في النظام دا و ساعد على تمكينو تسقط حكومة "الانغاز" و تسقط السلطويه الابويه. #تسقط_تالت	old_twitter	hate_political	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
66	9318	لكن نرجع ونقول قوة البشير قوة فاسدة حركات حركات #مدن_السودان_تنتفض #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
67	9426	الرصيتهم ديل كلهم بيض ...و ما اجمل مني في حاجه	old_twitter	profanity	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	
68	9442	لا تهاون في الاجراءت الصحية يجب اخضاع هؤلا للحجر الصحي غصبآ عنهم	old_telegram	dehumanizing	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
69	9567	رسالة للمتمرد كيكل من ابطال القوات المسلحة	war_corpus	hate_political	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
70	9574	الجنجا قال نقوم نمشي وين لكن تمشي ود الحد ما عارف يعني قوم_كنتقدر	war_corpus	gender_hate	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	
71	9640	اولاد بري و ودنوباوي محددين موكب موحد سعادتك! -قول والله! #تسقط_بس #مدن_السودان_تنتفض	old_twitter	hate_tribal	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
72	9674	حاربة نفسها حين بدأت حكمها بالغلظة والبطش وأعملت البندقية على أبناء الجنوب. وتناست قول الله تعالى: ولو كنت فظّا غليظ القلب لانفضوا من حولك #موكب24يناير #مدن_السودان_تنتفض	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
73	9860	اهلنا في النيجر مالي تشاد جنوب السودان اثيوبيا لو عندكم متمرد في مدني احسن لله عزاكم	war_corpus	hate_political	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
74	10275	عمر محمد الحالي متعاون مع المتمردين سرقة وترويع ساكن شرق نادي بري اخو ناس حنين واحمد صاحب المدعو امبيكي سارقين كمية من العربات	war_corpus	violence_reporting	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
75	10662	بين فوستر: الحل في البل.. اطلعو الشارع كلنا برا.. #موكب6ابريل	old_twitter	profanity	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
76	10772	ماتركه المتمرد علي يعقوب في الدنيا جهاز استارلينك جهاز تشويش علي الطيران جهاز ثريا واخر مكالمات صادرة وكفن	war_corpus	hate_political	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
77	10857	موكب ود نوباوي حاجه تانيه #تسقط_بس #موكب14مارس	old_twitter	hate_tribal	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
78	11399	كاريكاتير الافعى حميدتي يبدل جلده على حساب دماء السودانيين	war_corpus	threats	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
79	11456	سـنة من الكذب بأسم الدين سـنة من الفشل و التمكين سـنة من الاتجـار بقوت الموطن المسكين سـنة وماذال هنالك من يقـفـون في الحياد سـنة حقا من أين أتي هـولاء يوم يوم وحتي النصر #موكب21مارس #مدن_السودان_تنتفض #الشارع بس #تسقط بس	old_twitter	hate_political	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
80	11471	صبرنا كتير وماف أي حل غير تسقط بس في سبت البل فترنا من ناس المرور والغَمِت ورشوة النظام العام وضياع الوَكِت زلة العساكر لينا والخوف والخَبِت دا كلو بسقط بس في يوم السبت نطلع كلنا سوداني سودانية ونجيب حقنا ومسيرة مليونية والجيش حقنا ونسايسو بالفنية نقعد للصباح ونسوي كمونية	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
81	11725	عشم البنيات في الضراع الفات.. وكت حر الكفت #تسقط_بس #مدن_السودان_تنتفض	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
82	11983	#مدن_السودان_تنتفض #تسقط_بس #موكب14مارس و تأتي الاخبار من ارض السُمُر ان الثوار في الشوارع لاسقاط نظام وزراء الدجل و النفاق و التملق و الجهل بلا نظافة بلا عصيان الشارع بس	old_twitter	profanity	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
83	12024	الموكب لقد كتمت فيك كتمة العدو اللهم دعوة كل يوم اكتمها في بشه	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
84	12386	الناس بدت تنسى، ف للتذكير: ما بنـرجع مـا بنتغـشى ما لـم يتحـاسب بشــة يتحـاسب بشـة و نائبـه عـلي عثمـــان و كتائـبه و جهـاز الأمـــن و نافـع السفكــوا دم الشـــافع #تسقط_بس #تسقط_صح	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
85	12478	استدعت هيئة علماء السودان الداعية السلفي مزمل فقيري وعقدت لقاء مغلقا ضرب عليه جدارا من التكتم والسرية بين نائب الأمين العام للهيئة عثمان النضيف ومزمل على خلفية إساءات بالغة للرئيس العام لأنصار السنة إسماعيل عثمان ونعته بأوصاف على شاكلة(يا مجرم يا مبتدع يا كذاب يا مضل) التيار	old_twitter	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
86	12628	ماشه في امان الله اول م القى تاتشر اقول تسقط بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
87	12945	ديل هم البوليس حتي لو ما كانو بوليس هل هذا هو القانون البشير افتعل الطوارئ لكي يحلل عمل هؤلا العصبجيه الغير قانوني لكل ظالم نهايه #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
88	13064	#الوهابية لم ولن ينكروا على ولي الأمر حتى لو تعرض للثوابت الشرعية ويقدمون الطاعة له على إثارة الفتنة رأينا الإختلاط وتهميش الهيئة والحفلات واستحلال الآثار وقيادة المرأة إلخ سترونهم ينتفضوا للدفاع عن الشريعة فقط لو سقطت الحكومة اتعظوا من فرعكم بالسودان #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
89	13272	هلاك المتمرد القائد خلا بالمليشيا غرب النوير محور كردفان دنيا زايلي وزايل نعيمكي	war_corpus	hate_political	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
90	13426	كما تنحى بوتفليقة... سيتنحى النشف ريقة..(البشير) وسنغنى مع الدوش.. كواريك للسما السابع.... #عصيان13مارس #موكب11مارس #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
91	13429	حنوريهم الويل لا حظر تجوال لا قفيل #اعتصام_القيادة_العامة #مدن_السودان_تنتفض #ثوار_الليل	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
92	13472	الدعامة ديل زى الفشار كل ما تديهم نار يزيدو	war_corpus	hate_political	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	
93	13585	اسمعوا ماذا يقول الصليبيون في الخلافة اعزها الله ؟ مؤسسة_الغلام_الدولاوي	war_corpus	religious_sectarian	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
94	13594	رمضانا في الميدان يا اتفضلو انتو معانا #تسقط بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
95	13711	وانتو خلو شغلتكم واقعدوا اعملوا حركات المشاطات دي دا اكد ودا نفي ودا مشي ودا جاء ودا رقد ودا سقط #مليونية6أبريل #تسقط_بس #مدن_السودان_تنتفض	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
96	13989	يارب زي ما مشو يرجعو يارب ماينقصو نفر ويارب بدون موت #موكب20يناير️ #تسقط_بس️	old_twitter	violence_reporting	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
97	14173	يا جماعة رجال الوطنية بيضربوا لناس الأمن بيقولوا ليهم احنا كاتمنها مالكم ما جيتوا #تسقط_بس #اعتصام_الجامعة_الوطنية #موكب10مارس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
98	14486	ياجماعة اليلة السناجل يعفو لي جاهم تحجر في المشاعرنحنا المتحجرين م بنقبل بالبحصل دا	old_telegram	profanity	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	
99	14663	يازهرا انا في خطر يازهرا ااااه من العصر يازهرا الموت في القصر يازهرا جنس فجخ وكسر يازهرا جيشم مابينقدر يازهرا الجنجاوي مابينستر يازهرا حفرونا حفر يازهرا خلو بالابره الحفر تابعونا على الرابط قناة التلغرام _ قناة الواتساب	war_corpus	profanity	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	
100	14697	الفينا مشهودة عارفانا المكارم انحنا بنقودا والحاره بنخوضا #مدن_السودان_تنتفض #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
101	14812	في الاخر ح تعرس لي شايقيه مكتنها اسود من السواد و مسمكره	old_twitter	hate_tribal	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	
102	14949	يااا أنتُم إنتهى إلى مَزبلة التَاريخ زَمنْ التَوالي والتَجْنيب و فِقه الضَرورة والتَحلُل إنْتهى الدُوسْ يا غَبي. و #تسقط_بس هشام الكتاب} #موكب6ابريل	old_twitter	profanity	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
103	14955	بلد كانت ماشيه براحتها (الجردان) غشو القطيع وساقوه بشعار تسقط بس اللساتك مولعًا ، اها ولعتها تعال أطفئها جو الجردان التعايشي أردول تاور جردان وشيوعية الشيوعي السوداني عاوز يبني مجده من جديد بـ الشحدة	old_twitter	hate_tribal	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
104	15030	لا كيف يعني عاملين هاشتاق معاً لمنع قيادة البنت السودانية, يعني في الشارع الناس تحقر وتعصر منو؟!!	old_twitter	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
105	15229	إذا أراد "القراي" أن يموت على دين شيخه الخصي فله ذلك والله	old_twitter	violence_reporting	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
106	15359	لي لي ﻳﺎ ﻣﺠﺎﻫﺪ ﻣﺎ ﺗﺘﻘﺪم ﻟﻠﺤﻮر و اﻟﺠﻨﺔ ﺗﻜﺴﺐ ﺗﻐﻨﻢ ﻟﻜﺘﺎﺏ اﻟﻠﻪ ﺍﻗﺮى و اﻓﻬﻢ ﻗﻮﻡ ﻟﻴﻠﻚ ﺑﺎﻛﺮ ﻛﻰ ﻻ ﺗﻨﺪم ﻻﺯﻡ ﺍذﻛﺎرك ﺑﻴﻬﺎ ﺍﺗﻜﻠﻢ ﻟﺮﺳﻮﻟﻚ ﺻﻠﻰ ﻳﻨﺰﺍﺡ الهم لي كلاشنكوفك والجيم افهم في الراس تنشينك لا لا ترحم	war_corpus	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
107	15380	اي مذبحة اتمنى لو خبَّرتنا المزيد ، اكون ممتنة شاكرة #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
