text	label
جيشنا الباسل يدمر منصة اطلاق صواريخ تابعة للمليشيا الارهابية المتمردة في مدينة نيالا، وهلاك جميع المرتزقة الموجودين في المبنى نصر من الله، وفتح قريب تابعونا على الرابط قناة التلغرام _ قناة الواتساب	HATE
والظاهرة الغريبة الان هى زحام الانتصارات زحام الى درجة ان معركة الفاشر مثلا يختطف البعض منها رقيص الناس ويكتفى والبعض ينشر ضخامة عدد القتلى ويكتفى والبعض ينشر هروب وموت القادة ويكتفى بالمناسبة شىء مثلها سوف يقع فى مدنى وعلى الطلاق ما اسكت اكتر من كدا	NEUTRAL
بروف عبدالله علي ابراهيم معلقا على القطعة	NEUTRAL
ههههههه والله خميس ضاارب دا	OFFENSIVE
هم كلاب اكون معاهم كيف؟؟؟	HATE
مصادر صحفية الوقف الفوري للاعمال العدائية ومحاولة الجمع بين الرئيس البرهان وحميدتي مسارين امريكيين لحل ازمة السودان _انضم للمشهد السودان علي تلغرام عبر الرابط	NEUTRAL
النيل الازرق اليوم الخميس تابع قناة المراسل السوداني علي الواتساب whatsapp com channel 0029VbAeJWtElagyZ8UbnC0E تابعنا في التلغرام	NEUTRAL
كالعادة يعني, صباح النور يا بستي	NEUTRAL
ده حساب بنكك للتبرع 2999115 باسم ولاء عبد الغفار ارقام التبرع برصيد سوداني 0115990403 اريبا 0998244818 زين 0908357868 رسلو اشعار بنكك فضلا	NEUTRAL
تدمير قوة كبيرة للجنجويد جنوب مدني وتدمير عدد كبير من اليات الجنجويد تدمير ارتكاز فداسي الذي يعتبر الاكبر شمال مدني ذلك بواسطة المسيرات والطيران انهاك كبير لقوات التمرد بود مدني ، تتكامل فيه المحاور والوسائل والادوات قريبا قريبا يشع الامل باذن الله نصر من الله وفتح قريب	HATE
إنضمام ثوار الجامعة الوطنية للموكب الموكب متوجه إلى شارع ال الشعب يريد قصاص الشهيد	NEUTRAL
الذين أحبونا أقل من سمعتهم	NEUTRAL
القياده القياده القياده اعتصام القياده اسقط البشير وابن عوف واصلوا الاعتصام الحل في الاعتصام اتذكروا وعودنا للشهداء: "يا نعيش احرار يا نموت ثوار" #اعتصام_القيادة_العامة	NEUTRAL
إن كان من قتله فردا ربما العفو أصلح وأعظم أجر ولكن شخصا مقابل واحد فالأمر مؤلم والأمرُ من ذلك "الطريقة" نأمل ألا يتلاعب في الاستئناف وأن يعدموا وسط مدينة خشم القربة وعلى مرأى ومسمع الشعب. #قصاص_احمد_الخير	OFFENSIVE
قوات العمل الخاص تدمر قارببن بالنيل على متنها عدد من جنود المليشيا الهاربين من الاذاعة والتلفزيون نصر من الله وفتح قريب	NEUTRAL
امير منطقة عسير تركي بن طلال بن عبدالعزيز يكرم مواطن سعودي لموقفه الكبير تجاه اسرة سودانية تعرض والدهم فتح الرحمن عربي لحادث مروري توفى على اثره لرحمه الله اثناء ذهابه لاستقبالهم من المطار وتم احتواء العائلة كاملة واستحقاق راتب لهم وبيت وتسجيل بناته واولاده بالجامعات السعودية على نفقة الحكومة السعودية	NEUTRAL
قوات الجيش السوداني والقوات المشتركة للحركات تتوجه لمحاصرة مدينة الجنينة عاصمة ولاية غرب دارفور بعد دخولها الى كلبس الرسالة249 معركة_الكرامة	HATE
منو أكتر حارس منفوخ الحراس عموماً مظاليم صعب تلقى حارس اخد اكبر من حجمه عندك انا كمثال	OFFENSIVE
يعني الاتفاق بين المكتبة والمستخدم ما بتشترط عليه يرجع الكتاب؟ على كدة اوكي، موضوع السرقة اتنفى و	NEUTRAL
التعدي على النساء واعتقالهم؛ عمل خسيس حقير، لم نعهده الا من انظمة العمالة والكفر والردة، وعار على من يدعي نصرة الاسلام والمسلمين القيام به، وينبغي على الجميع انكار مثل هذه التصرفات المشينة، اعراض المسلمين ليست لعبة، الا شل الله كل يد امتدت على اخواتنا المسلمات	OFFENSIVE
ضربات جوية للطيران الحربي علي منطقة زرق بولاية شمال دارفور صباح اليوم السبت	NEUTRAL
رسميا السلطات السعودية تفرض على الراغبين في اداء العمرة من السودانيين وجود ضامن مقيم في المملكة لاستخراج ضمان وتوثيقه في الغرفة التجارية بالمنطقة المقيم فيها	NEUTRAL
الخرطوم موكب جبال النوبة موكب خريجي جامعة الرازي موكب المصرفيين موكب ضباط الشرطة المتقاعدين موكب تجمع المصممين السودانيين #تسقط_تالت #اعتصام_القياده_العامه	NEUTRAL
اي والله وكمان لو بقينا كتاااااار نعتصم عديل كدا #مدن_السودان_تنتفض #تسقط_بس	NEUTRAL
عندي صديقتي الصدوقه اسمها (سحر) وماتت مقتوله في حادث لو لاحظت دايما اي شخصية اسمها (سحر) في قصصي بتموت مقتوله	NEUTRAL
انتي كلك زينة وعاينة كالوزينة ويحفظك مولاك	OFFENSIVE
بل بل بل بل بل في نص قلبك يا دعامي قول حرقني بس اللهم انصر القوات المسلحة وما النصر الا من عند الله	OFFENSIVE
معليش حبيبي انا عايزاك تجيبا لي انت	NEUTRAL
والله إذا دي ياها ثورة الوعي الطالعين ليها يوم ف على الوعى السلام.	NEUTRAL
مليون سلام لي اي بت وقفت وشالت للعلم قالت بلادي هي الاهم	NEUTRAL
تم تقييده في المجموعه المستخدم معتصم محمد احمد	NEUTRAL
ينصصصصر ديينك يا منصووور يا ولد حمدااان	HATE
باقي تفتحي الدي ام ونتونس بس	NEUTRAL
كان نرقص لانو اغنية الكلب النوتي دي رابه لم غلط	OFFENSIVE
في ناس كتير نفسها كان تشوف الطيران لمن يضرب الجنجويد وقبل يرفعوهم ويصوروا هاكم المقطع الجنجويد مقطعين شرق النيل سوبا شرق ام عشوش نار وشرار	HATE
الطيران الحربي سجل زيارة جديدة في سماء الفاشر اليوم مستهدفا تجمعات للمليشيا المتمرده خارج الفاشر في الاتجاهين الشمالي والشرقي ما بتنوم والله	NEUTRAL
مني اركو مناوي الانسانية لا تتجزا الهدنة يجب ان يسبق انسحاب الجنجويد والمرتزقة من المناطق السكنية والمستشفيات و المدن و الافراج عن المختطفين بمن فيهم الاطفال والنساء و تامين عودة النازحين لمن تكون هدنة دون حماية المدنيين و محاسبة مرتكبي الجرائم؟ اي هدنة بغير ذلك ، تعني تقسيم السودان	HATE
كلامك صاح الفلول من 56 بعملو فتن وحروب لكن خلاص مع الاشاوس ديل والامير ود حمدان تاني الفلول يشموها قدحه	HATE
اولادنا بمدينة النهود يتقدمون بثبات،تدمير عدد من العربات القتالية للمرتزقة وتحيد عدد من افرادهم وقلة حدة الاشتباكات كردفان الغرة تابع قناة السودان علي الواتساب whatsapp com channel 0029VbAeJWtElagyZ8UbnC0E تابع قناة السودان علي تلغرام	NEUTRAL
م ياهو كلنا بنحب الشي الاسمو اهتمامونكره الكلمةة الاسمها تجاهل او مصطلح تاني(تسفيه)	OFFENSIVE
طيب ما تجي يلا ونجيب عبد الله	NEUTRAL
باتاريخ اليوم حطاب السد الباب متك واستلام بالقرب من الجيلي انتهت الاقامه ياجنجويد	HATE
يخوانا ده شنووو.؟ الناس دي متين انو في وباء ولمن يجيهم حيريحهم من الحياه كلها خلي صف البنزين الوعي افضل سلاح ضد الكرونا والله	OFFENSIVE
شرفاء السودان اصدحوا بالاصوات التي تدين الامارات الان انت تقود معركة بي صوتك اقوي من الرصاص ضد مرتزقة الامارات	HATE
لا وجود للامان المطلق؛ وهذا يعني ان كل شيء في هذه الحياة بوسعه ان يهشم حائط امانك، ويلقيك في الفزع مرة بعد مرة	NEUTRAL
امن يا جن في المقدمه و الرعاية	NEUTRAL
حوجه عاجله محتاجين ٤ قزايز دم لطفل مصاب بالكانسر فصيلته o مستشفي الضمان رقم الوالد علي ابرهيم 0121023561 الشير الحاله عاجله جدا	NEUTRAL
لا تعامل الناس على أنهم ملائكة فتعيش مغفل و لا على أنهم شياطين فتعيش شيطان بل عاملهم على أن فيهم بعض أخلاق الملائكة و كثير من أخلاق الشياطين	NEUTRAL
يلا نجمع لمبادرة طحين وخبز تاني في اسرع وقت ممكن؟ همتكم يا اهل الخير جددوا نواياكم ، افلح من صدق	NEUTRAL
والله يجماعة الناس م محتاجة انها تمرض مرض مزمن او حتى تحس انها حتموتوعشان تعيش حياتها لي يعني م تعيشي حياتك و تعيشي احلامك و تعيشي حاجاتك بي كل تفاصليها حتى ولو كانت م حلوة اكيد حيجي يوم و تجي الحاجات الحلوة و ال حتنسيك مرارة ال عشتيهو مية مرة	NEUTRAL
كريتكال رجع لي يوسف الحاج حسابو بطل امور العرمه البتعملا كل يوم دي	OFFENSIVE
وما ساهل ما شوية خالص	NEUTRAL
هسي دي ما انا زاتي	OFFENSIVE
اعتصام حتى زوال الحكم #اعتصام_القيادة_العامة #تسقط_بس #موكب6ابريل	NEUTRAL
ناس تحارب #الكوليرا_في_السودان ويعرضوا انفسهم لخطر الاصابة والحكومة تحاربهم وتعتقلهم كى لايشوهوا صورة السودان فى الخارج	NEUTRAL
الرسائل الغير متوقعة جميلة جدا	NEUTRAL
بحري لمتابعة التغطية الخاصة للمعارك اول باول تابع صفحة الخرطوم مقبرة الجنجويد على الفيسبوك من خلال الرابط الخرطوم_مقبرة_الجنجويد معركة_الكرامة تحرير_الجزيرة الجزيرة مدني_لازم_ترجع	HATE
يعني تحت المويه الشغل ده	NEUTRAL
فلنقات المسيرية الشغالين عبيد يحاربو بالانابة عن الشماليين عبيد الاستعمار	HATE
قلت ليو شايف اللستك الورا النايم داك انا عايز اخت فيهو الطشت عشان اغسل فيو الهدوم	OFFENSIVE
الخرطوم مراسلة الحدث مقتل عنصر من الجيش السوداني واصابة 7 اخرين	NEUTRAL
اتفاق سعودي اماراتي يقضي بان ترث الامارات بقايا الاخوان الشاهد على ذلك ما حدث في تعز و ما يحدث اليوم في السودان اسقطوا البشير ووضعوا مكانه قائد قوات السودان المشاركة في العدوان على اليمن عميلهم الاول #اعتصام_القيادة_العامة #مدن_السودان_تنتفض	OFFENSIVE
والله سمعت وفد التفاوض دي انا افتكرتو جاي من جوبا	NEUTRAL
رئيسنا الطرطور خريج من حقوق بمقبول مكنتش واثق فى قدراته الذهنية من الأول	OFFENSIVE
البت السودانية ما ممكن تتنفس ساي بدون ما زول يزعل و يدق جرس و ياخد الموضوع شخصي ياخ امشوا شوفوا ليكم موضوع ياخ البلد عمرها ما حتمشي لقدام ما دام فيها فقُر زيكم	OFFENSIVE
اقصه حسا دي بس كاميرات المراقبة دي تختاني	NEUTRAL
تونس تتضامن مع السودان مظاهرات امام سفارة دويلة الشر الامارات تابع قناة المراسل السوداني علي الواتساب تابعنا في التلغرام	NEUTRAL
الشرطة في منزل صحفية سودانية قاضت الامارات ماذا هناك ؟؟ السودان اليوم_نيوز عاجل اليوم نيوز نافذتك على اخر الاخبار والمستجدات	NEUTRAL
مستني زول من قبيييل يعلق	HATE
عناوين الصحف السودانية الصادرة اليوم الخميس ١٦ اكتوبر ٢٠٢٥م تفاصيل الخبر على الرابط اخبار_السودان السودان_الان السودان عاجل السودان_اليوم الراي_السوداني الاخبار_العاجلة تابعنا على تيلجرام	NEUTRAL
سارع كل العرب والمسلمين وهيئة علماء السلطان الكيزانية لادانة حادثة نيوزلاند ولكن سفاح نيوزلاند افضل من الكيزان لانه تخير من يقتل فقتل من يختلف معه في الهوية والدين اما الكيزان فيقتلون ابناء جلدتهم ولا اعتقد انهم علي دين الاسلام #اعتصام_القيادة_العامة #مدن_السودان_تنتفض	HATE
كل القبائل جاهزة في كسلا، ومن ضمنهم قبائل الرشايدة اعلام_اسناد_وزارة_الدفاع_السودانية الفداء_والوعي معركة_الكرامة	NEUTRAL
بالظبط، كل نظام سياسي لابد له من مرجعية تبني افكاره، هذه المرجعيات تكون ثقافية أو علمية الليبرالية أو فلسفية مثلا الشيوعية أو العلمانية أو عقائدية مثل الإسلامية أو اليهودية. فالدين مرجعية فكر، زيما الفلسفة أو العلم أو الثقافات المختلفة مرجعيات، وهنا في سوء فهم شديد عند السياسيين	NEUTRAL
الاشاوس من الميدان الحرب ستنتهي في بورتسودان وتحرير السودان من مليشيا البرهان RSF from the battlefield This war will end in Port Sudan and liberate Sudan from the SAF militia معركة_الديمقراطية حراس_الثورة_المجيدة	NEUTRAL
دا قروب هكر و لا أرجع بي دربي	OFFENSIVE
مصدر امني تم استلام جزء كبير من مطار الخرطوم ، ويتواجد عناصر من قوات الدعم السريع في الصالات الداخلية وتم عمل طوق حصاري عليهم لاجبارهم علي الاستسلام دون مقاومة الاشتباكات الان الدعوات	NEUTRAL
القوة المشتركة تدمير 4 متحركات للمليشيا في الخوي ومئات القتلى في صفوفهم	NEUTRAL
انا ما مزعلني الا ناس شندي المرقو موكب امبارح وين كنتو وقت الناس بتموت وبقتلوهم الكيزان الطالعين عشانهم اسي ديل يا بطاله؟؟ شندي العار	HATE
هههههه الكلب قال نتعرض لي تطهير و ابادة عرقية في الخرطوم و الجزيرة و كل مكان خت السلاح و استسلم كلامنا وااااحد	HATE
الفوضى التي حدثت في قاعة الصداقة تدل على انها لم تسقط بس انهم الكيزان يا سادة #السودان	OFFENSIVE
من الخرطوم سلام تسقط بس، ياسيسي التحيه لنضال الشعب المصري،الصابر	NEUTRAL
هل تعلم أن الإنسان اذا قضى ساعة ونصف تحت سطح الماء فإنّا لله وإنا إليه لراجعون وشكراً #تسقط_بس #١٣_مارس	NEUTRAL
بديك كم خيار الملونات باللون الغامق ديل العدد ساعاتهم كافية اللون العادي دا بخليك تصحى كويس بس عدد ساعات اقل ، الخيار التاني تقول ليه انك	NEUTRAL
هل تعلم ان مرحلة الـ هي المرحلة التي تسبق مرحلة البلوك مباشرة	NEUTRAL
مافي زول يقول ليك جيب حسابك بساعدك	NEUTRAL
وروني وعرفت واتواصلت، انتي بس بطلي تشكيك وفلسفة	OFFENSIVE
صور مشاركة حركة المقاومة الشعبية بحضور وقفة دعم واسناد مع الاسير المجاهد خليل عواودة المضرب عن الطعام لليوم ال 24 على التوالي في سجون الاحتلال الصهيوني والتي نظمتها مؤسسة مهجة القدس للاسري والشهداء امام برج شوا حصري وسط مدينة غزة اليوم الاحد 27 03 2022م	NEUTRAL
ما تضايق انت لسة ود صغير	OFFENSIVE
الله يعوضعهم الجنة ، عدم فحص السائقين وعدم الالتزام بالسرعة والتخطي الخاطئ وعدم توفر الإسعاف	NEUTRAL
يا جماعة لو داير ادق لمركز خدمات سوداني للمشتركين و اتكلم مع واحد من العملاء ، اعمل شنو	NEUTRAL
ان يسموك كافر وانت تبحث عن الحقيقة، خير لك من ان يسموك مؤمن و انت تقلد جهلهم صوت_الجمهورية	HATE
شاهد عضو مجلس السيادة نائب القائد العام الفريق اول ركن شمس الدين كباشي يخاطب منسوبي قيادة المنطقة العسكرية الشرقية ٢٧ مارس ٢٠٢٤م السودان القوات_المسلحة_السودانية المقاومة_الشعبية تحت قيادة القوات المسلحة نحن في الشدة باس يتجلى معركة_الكرامة مليشيا_حميدتي_منظمة_ارها_بية جيش_واحد_شعب_واحد sudan SudanNews Conflict_in_Sudan sudan_war	NEUTRAL
ال خلاص يلا بدون المجهول	NEUTRAL
للدرجه دي الكيزان كانو سايطين البلد!!! المطره شغاله بتغسل ليها ساعات	OFFENSIVE
مدفعية الفرقة السادسة مشاة بالفاشر تدمر 2 من المدافع التي تستخدم في التدوين العشوائي على الاحياء السكنية والمرافق الخدمية والطبية ،وهلاك قائد مدفعية العدو مع عدد من جنوده الرسالة249 معركة_الكرامة الرسالة_الاخبارية تابعونا على الرابط	NEUTRAL
شباب دايرين كاش مان/وومان #اعتصام_القياده_العامه	NEUTRAL
البل حار م بتقدرو عليهو يا مرتزقه	OFFENSIVE
الجيش يتقدم ويحرر عدد من المناطق السودان اليوم_نيوز عاجل اليوم نيوز نافذتك على اخر الاخبار والمستجدات	NEUTRAL
في معايير كتيرة.. و المجتمع منها طبعاً.. بس كمان في حسابات تانية بحسبها العقل زي إنه البنت بتكبر أسرع من الولد.. و إنه بنت أكبر منك غالباً ح يصعب تروّض أفكارها.. و غيرها.. "انا هنا ما بتكلم عن رأيي أو وجهة نظري.. أنا بتكلم عن إنه العقل بخت حسابات"	NEUTRAL
قواتكم المسلحة تتقدم ف المعارك بنجاح وتوجه دروسا صعبة للمتمردين في جميع الجبهات وتعمل بصمت تام بعيدا عن الاعلام والتصوير بهدف حسم التمرد وفقا لخطة حرب محكمة وجدول زمني لانهاء التمرد تحسم بالسلاح	NEUTRAL
الود الكيوت دة لو يبني فصل نبيت فوقو والله	OFFENSIVE
غايتو انتو البنات عليكم عولاق كده يحير	OFFENSIVE
حالات الاصابة دي بتجي اتنين اتنين سفنجات بس	NEUTRAL
هنا ام درمان هنا السلاح الطبي ام درمان يد تحمل السلاح ويد تداوي الجراح نسال الله التوفيق والسداد	NEUTRAL
اسماعيل طلعت مندس ، تاني الناس تعمل حسابها منك	OFFENSIVE
عالداير طرزتو شوي إيدي و الأسوارة حيكتلو أسمو عليه بخيطان السنارة بخيطان الزرق و حمر و غناني الصبيان السمر كتبتلو قصة عمر بدموعي الكتيبي	NEUTRAL
جميل شديد في العلمانية تقدرو تعملو كدا برضو و الما دايرين ما يعملو	NEUTRAL
اقالة اللواء احمد الطيب قائد الفرقة الاولي مدني وتعيين اللواء دكتور ربيع عبد الله بديل له	NEUTRAL
خالتنا العندها سكري دي اتوفت دعواتكم ليها بالرحمة والمغفرة وربنا يصبر اهلها ويجعل مرضها كفارة ليها حوجة العلاجات التانية تمت	NEUTRAL
كنت بتحبي القلوب الخضراء و أنا برسل ليك القلوب الزرقاء عمري ما حبيتها لخبطتا في الالوان انت بحب القلوب الخضر	NEUTRAL
بمشاركة قوات الدعم السريع والشرطة رئيس الادارة المدنية يدشن الحملة الامنية لبسط الامن والاستقرار بولاية جنوب دارفور The Chairman of Civil Administration launches a comprehensive security campaign for fostering security and stability in South Darfur with the participation of the RSF and the police معركة_الديمقراطية حراس_الثورة_المجيدة	NEUTRAL
الفرقة السادسة مشاة بالفاشر قواتنا استطاعت تدمير منصة تحتوي على مدفعين نوع 120 ومدفعين نوع 82 بمحور الفاشر الخرطوم_مقبرة_الجنجويد	HATE
بالغلط انا قصدي الحوت الازرق	NEUTRAL
بالصورة و القلم السودان يطالب بإعادة تصحيح العريضة جريدة الدار..	NEUTRAL
ارح يا يمه نتبادل ، اضُمك لي اشيل همك و اقسمو علي اجيب وجعك و ارمي علي.. اشيل فرحك و ازيدو شوي احجيكي و اللوليكي و اشيلك جوه نور عيني	NEUTRAL
القائد العام عبدالفتاح البرهان كبك بس	OFFENSIVE
شباب مدني بكرة محاكمه ثوار المليونية ما بتتوصو...ابقو كتااار محكمة الجنايات الساعة صباحاً #تسقط_بس	HATE
كلام فارغ و غير صحيح، البت دي متحملة كل الهجوم عليها الاساسو اكاونت وهمي، ده غير انها ما اختارت الحاجة دي حتى لقاءات الوكالات بتكون مضغوطة و بالعكس بتقابل كل الشتايم في الشارع بابتسامة و بقت تتجنب تمشي القيادة، ما عارف هي عملت شنو بالظبط و مستغرب في قوة تحملها..	OFFENSIVE
شيتات و مراجع في رمضان و امتحانات بعد العيد اذا الكيزان لسه قااعدين #تسقط_بس	OFFENSIVE
حول راهن النازحين بربر عبد العظيم البدوي النقرابي الميدان 4128،، الاحد 26 نوفمبر 2023م	NEUTRAL
مزنوقين زنقة الكلاب نقول ليكو دي دنيا زيلي تقولو مادنيا زئلي	OFFENSIVE
القائد العام للقوات المسلحة عبد الفتاح البرهان يتوجه في السادس من سبتمبر الجاري الي العاصمة القطرية الدوحة يرافقه عدد من القيادات العسكرية والامنية معركة_الكرامة الخرطوم_مقبرة_الجنجويد كرامة_الجيش_كرامة_شعب	NEUTRAL
مجتبى داير شقه استوديو في المجاهدين اركويت او المعمورة او اي منطقه في الحته الحولها اسال المتابعين لو سمحت	NEUTRAL
اولي مصادر عبرية انفجار ضخم في المنطقة الصناعية في رمات هشارون شمال تل ابيب	NEUTRAL
قبيل لمن كتمت جمب ملعب الباسكت وفكو بمبان وطلع زيتي البنت الجات كبت خل في طرحتها وقشيت عيوني دي خلاص قفلت عليها انا شيراات بالله دايرها	OFFENSIVE
قوات المدرعات في عملية نوعية تقت ل العشرات وتستلم مركبات الاثنين ٣٠ اكتوبر ٢٠٢٣م كرامة_الجيش_كرامة_شعب معركة_الحسم الجيش_صاحي مليشيا_دقلو_منظمة_ارهابية انهاء_التمرد جيش_واحد_شعب_واحد ده_جيش_بتداوس؟ السودان السودان_اليوم بحري الخرطوم امدرمان الجيش_السوداني القوات_المسلحة الجيش جيشنا جياشة sudanese sudan khartoum SudanNews FYP sd sud sudan sudan_war khartoum_war KeepEyesOnSudan Conflict_in_Sudan diplomats	NEUTRAL
الزول دا ما عاين لي كل نهاية طاغية من فرعون والمعاهو ستالين موسيليني هتلر لي شارون قذافي	OFFENSIVE
مسيرة تستهدف عطبرة والجيش يتصدى موجز الزرقاء	NEUTRAL
فى هذا اليوم المبارك اللهم ارحم شهداء قواتنا المسلحه شهداء الوطن الابرار الذين سطروا بارواحهم ودمائهم الزكية اسمى المعاني، وضربوا اروع الامثلة في التضحية اللهم اغفر لهم وارحمهم برحمتك يا ارحم الراحمين	NEUTRAL
بقينا زي الخواجات درجة الحراره و حاسين بالسخانه #شكرا_حمدوك	NEUTRAL
نٌهٱيّٱتُ لٱنٌتُوِقَعهٱ لٱنٌخٌتُٱرهٱ لٱنٌسًتُحًقَهٱ لكنٌهٱ تُحًدُثً...!	NEUTRAL
كيف سهرة امس ي جنجويد ؟ لاول مرة رينبو من الطراز الحديثCH 5 الكلالكة تؤمن المدرعات والجبل والمهندسين والسلاح الطبي بقدرة 16قنبلة ذكية موجه تقف لمدة تلاتة ايام متواصلة 60ساعة ومساحة التغطية عشرة الف كيلو للتجسس والتصوير تشمل كل جنوب الخرطوم حتى الباقير والقيادة سلسلة MQ 9	HATE
تايم لااين مبهج نصر من الله وفتح قريب	NEUTRAL
عضو مجلس السيادة مساعد القائد العام للقوات المسلحة وقائد القيادة الجوالة الفريق اول ركن ياسر العطا مخاطبا قوات سلاح المدرعات ومتحركات العمليات اللاحقة هناك تامر قوى اقليمية ودولية يهدف لنهب موارد افريقيا وتقاسم النفوذ، وقد شمل ذلك حشد اموال، سلاح، ومرتزقة فيديو منصتنا علي فيسبوك	HATE
الناس المعترضة على لغة تجمع المهنيين افتكر احنا ما قاعديين نتكلم فصحة في بيوتنا والموضوع اكبر من كدا اصلا الموضوع شمولية تقاطعات المجتمع كاملة واحترامها (خط تحت احترامها دي) كلها. السودان الجديد ما فيهو عجرفة فاضية..حتنزل الشارع كيف اذا انت اصلا ما قادر تخاطب الشارع. #تسقط_بس	NEUTRAL
